"","interact_id","treksoft_pid","treksoft_uid","ethica_id","sd_id_1","sd_firmware_1","sd_start_1","sd_end_1","sd_id_2","sd_firmware_2","sd_start_2","sd_end_2","dropout","data_disposition","test","plg_id","wave"
"1",201747792,"916","918",NA,455,NA,2018-10-13,2018-10-23,NA,NA,NA,NA,NA,NA,0,NA,1
"2",201016583,"27","29",NA,417,2106,2018-05-04,2018-05-13,NA,NA,NA,NA,NA,NA,0,NA,1
"3",201096308,"168","170",5231,417,2106,2018-05-26,2018-06-04,NA,NA,NA,NA,NA,NA,0,NA,1
"4",201354715,"386","388",NA,417,2106,2018-07-04,2018-07-13,NA,NA,NA,NA,NA,NA,0,NA,1
"5",201897232,"44","46",NA,417,2106,2018-08-02,2018-08-11,NA,NA,NA,NA,NA,NA,0,NA,1
"6",201084620,"90","92",NA,420,2106,2018-06-22,2018-07-01,NA,NA,NA,NA,NA,NA,0,NA,1
"7",201243705,"889","891",NA,420,2106,2018-09-22,2018-10-01,NA,NA,NA,NA,NA,NA,0,NA,1
"8",201440082,"721","723",5976,420,2106,2018-08-24,2018-09-02,NA,NA,NA,NA,NA,NA,0,NA,1
"9",201555219,"183","185",5188,420,2106,2018-07-19,2018-07-28,NA,NA,NA,NA,NA,NA,0,NA,1
"10",201206867,"556","558",5799,423,2106,2018-07-25,2018-08-04,NA,NA,NA,NA,NA,NA,0,NA,1
"11",201395817,"21","23",NA,423,2106,2018-05-14,2018-05-23,NA,NA,NA,NA,NA,NA,0,NA,1
"12",201808807,"307","309",5448,423,2106,2018-06-23,2018-07-02,NA,NA,NA,NA,NA,NA,0,NA,1
"13",201936202,"191","193",NA,423,2106,2018-05-29,2018-06-07,NA,NA,NA,NA,NA,NA,0,NA,1
"14",201335765,"7","9",6336,426,2106,2018-10-18,2018-10-27,NA,NA,NA,NA,NA,NA,0,NA,1
"15",201581816,"15","17",NA,426,2106,2018-05-04,2018-05-13,NA,NA,NA,NA,NA,NA,0,NA,1
"16",201629908,"419","421",NA,426,2106,2018-09-27,2018-10-06,NA,NA,NA,NA,NA,NA,0,NA,1
"17",201966494,"212","214",NA,426,2106,2018-06-11,2018-06-20,NA,NA,NA,NA,NA,NA,0,NA,1
"18",201046774,"72","74",NA,427,2106,2018-05-29,2018-06-07,NA,NA,NA,NA,NA,NA,0,NA,1
"19",201062161,"98","100",5342,427,2106,2018-07-26,2018-08-05,NA,NA,NA,NA,NA,NA,0,NA,1
"20",201335404,"20","22",NA,427,2106,2018-05-02,2018-05-11,NA,NA,NA,NA,NA,NA,0,NA,1
"21",201540108,"389","391",NA,427,2106,2018-07-07,2018-07-16,NA,NA,NA,NA,NA,NA,0,NA,1
"22",201611721,"37","39",5116,428,2106,2018-05-04,2018-05-13,NA,NA,NA,NA,NA,NA,0,NA,1
"23",201642869,"828","830",NA,428,2106,2018-09-13,2018-09-22,NA,NA,NA,NA,NA,NA,0,NA,1
"24",201828168,"484","486",5793,428,2106,2018-08-17,2018-08-26,NA,NA,NA,NA,NA,NA,0,NA,1
"25",201140482,"86","88",NA,430,2106,2018-05-10,2018-05-19,NA,NA,NA,NA,NA,NA,0,NA,1
"26",201213672,"302","304",5499,430,2106,2018-11-20,2018-11-29,NA,NA,NA,NA,NA,NA,0,NA,1
"27",201622526,"211","213",5221,430,2106,2018-05-29,2018-06-07,NA,NA,NA,NA,NA,NA,0,NA,1
"28",201210693,"35","37",7317,434,2106,2018-07-11,2018-07-20,NA,NA,NA,NA,NA,NA,0,NA,1
"29",201344260,"55","57",NA,434,2106,2018-05-08,2018-05-17,NA,NA,NA,NA,NA,NA,0,NA,1
"30",201488353,"223","225",NA,434,2106,2018-08-10,2018-08-19,NA,NA,NA,NA,NA,NA,0,NA,1
"31",201632326,"167","169",NA,434,2106,2018-06-24,2018-07-03,NA,NA,NA,NA,NA,NA,0,NA,1
"32",201829346,"201","203",NA,434,2106,2018-05-30,2018-06-08,NA,NA,NA,NA,NA,NA,0,NA,1
"33",201057630,"40","42",NA,435,2106,2018-05-31,2018-06-09,NA,NA,NA,NA,NA,NA,0,NA,1
"34",201233360,"47","49",5117,435,2106,2018-05-09,2018-05-18,NA,NA,NA,NA,NA,NA,0,NA,1
"35",201375419,"156","158",6387,435,2106,2018-06-16,2018-06-25,NA,NA,NA,NA,NA,NA,0,NA,1
"36",201865115,"648","650",6162,435,2106,2018-09-19,2018-09-28,NA,NA,NA,NA,NA,NA,0,NA,1
