
Due to MODULEPATH changes, the following have been reloaded:
  1) mii/1.1.2

The following have been reloaded with a version change:
  1) StdEnv/2020 => StdEnv/2023
  2) flexiblas/3.0.4 => flexiblas/3.3.1
  3) gcc/9.3.0 => gcc/12.3
  4) gcccore/.9.3.0 => gcccore/.12.3
  5) gentoo/2020 => gentoo/2023
  6) libfabric/1.10.1 => libfabric/1.18.0
  7) openmpi/4.0.3 => openmpi/4.1.5
  8) ucx/1.8.0 => ucx/1.14.1

[09/24/2025 13:22:26] INFO: Multiprocessing with 24 cores
[09/24/2025 13:22:26] INFO: PID 2917079: processing w3|van: 201501554_474_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917078: processing w1|mtl: 401479258_182_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917080: processing w3|mtl: 403144072_201_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917082: processing w2|mtl: 401097960_121_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917081: processing w1|vic: 101172402_36_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917083: processing w1|van: 201355341_495_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917084: processing w1|vic: 101740289_96_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917087: processing w1|mtl: 401277385_121_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917086: processing w1|vic: 101668945_123_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917085: processing w1|vic: 101180124_59_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917088: processing w3|mtl: 401760345_9_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917089: processing w1|vic: 101393503_276_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917090: processing w3|van: 203549113_434_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917091: processing w1|van: 201767359_478_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917093: processing w2|vic: 101201381_391_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917092: processing w2|mtl: 401035210_173_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917094: processing w3|van: 203379888_317_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917096: processing w3|van: 202258511_349_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917097: processing w2|vic: 101356709_416_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917095: processing w3|van: 201005131_453_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917098: processing w3|mtl: 401273284_59_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917099: processing w2|vic: 102622945_367_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917100: processing w1|skt: 302975201_363_AXL.csv
[09/24/2025 13:22:26] INFO: PID 2917101: processing w1|van: 201999448_495_AXL.csv
[09/24/2025 13:27:55] DEBUG: PID 2917098: 329.35s @ 23.6ms/row
[09/24/2025 13:27:55] INFO: PID 2917098: processing w2|van: 201005131_405_AXL.csv
[09/24/2025 13:28:23] DEBUG: PID 2917081: 356.75s @ 26.7ms/row
[09/24/2025 13:28:23] INFO: PID 2917081: processing w3|vic: 101053220_356_AXL.csv
[09/24/2025 13:28:51] DEBUG: PID 2917090: 385.19s @ 36.5ms/row
[09/24/2025 13:28:51] INFO: PID 2917090: processing w2|vic: 102886115_346_AXL.csv
[09/24/2025 13:28:54] DEBUG: PID 2917080: 388.28s @ 28.2ms/row
[09/24/2025 13:28:54] INFO: PID 2917080: processing w1|van: 201502772_457_AXL.csv
[09/24/2025 13:29:56] DEBUG: PID 2917088: 449.69s @ 32.8ms/row
[09/24/2025 13:29:56] INFO: PID 2917088: processing w2|skt: 302539875_324_AXL.csv
[09/24/2025 13:30:20] DEBUG: PID 2917083: 473.65s @ 34.7ms/row
[09/24/2025 13:30:20] INFO: PID 2917083: processing w1|van: 201119567_482_AXL.csv
[09/24/2025 13:31:52] DEBUG: PID 2917101: 565.82s @ 38.1ms/row
[09/24/2025 13:31:52] INFO: PID 2917101: processing w2|vic: 102873412_459_AXL.csv
[09/24/2025 13:32:49] DEBUG: PID 2917093: 622.60s @ 23.2ms/row
[09/24/2025 13:32:49] INFO: PID 2917093: processing w1|vic: 101761435_17_AXL.csv
[09/24/2025 13:33:43] DEBUG: PID 2917089: 676.68s @ 54.4ms/row
[09/24/2025 13:33:43] INFO: PID 2917089: processing w1|skt: 302446738_375_AXL.csv
[09/24/2025 13:34:47] DEBUG: PID 2917095: 740.86s @ 53.7ms/row
[09/24/2025 13:34:47] INFO: PID 2917095: processing w1|vic: 101072948_263_AXL.csv
[09/24/2025 13:35:11] DEBUG: PID 2917086: 764.87s @ 61.4ms/row
[09/24/2025 13:35:11] INFO: PID 2917086: processing w2|vic: 101254492_350_AXL.csv
[09/24/2025 13:35:16] DEBUG: PID 2917094: 770.24s @ 55.3ms/row
[09/24/2025 13:35:16] INFO: PID 2917094: processing w1|skt: 302982550_404_AXL.csv
[09/24/2025 13:35:27] DEBUG: PID 2917079: 780.93s @ 82.3ms/row
[09/24/2025 13:35:27] INFO: PID 2917079: processing w1|van: 201642869_428_AXL.csv
[09/24/2025 13:35:27] WARNING: Unable to find participant #201642869/sd #428 in top_sd.top_1min_van, skipping
[09/24/2025 13:35:27] INFO: PID 2917079: processing w1|skt: 302445933_357_AXL.csv
[09/24/2025 13:35:29] DEBUG: PID 2917099: 783.19s @ 56.7ms/row
[09/24/2025 13:35:29] INFO: PID 2917099: processing w1|vic: 101636205_78_AXL.csv
[09/24/2025 13:35:36] DEBUG: PID 2917100: 790.29s @ 56.4ms/row
[09/24/2025 13:35:36] INFO: PID 2917100: processing w1|van: 201828168_428_AXL.csv
[09/24/2025 13:35:47] DEBUG: PID 2917082: 801.01s @ 58.2ms/row
[09/24/2025 13:35:47] INFO: PID 2917082: processing w2|mtl: 401341482_117_AXL.csv
